DEFAULT,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,NINQ,CLNO,DEBTINC
1,3200,23159,,20,,2,0,9,0.524499215
0,3300,126541,134527,9,1,0,0,36,
1,3300,130518,164317,9,0,6,0,33,35.73055919
0,3400,37000,52000,2,0,1,0,6,
0,3500,23200,38666,11,0,0,0,14,
0,3500,19400,20494,5,0,0,0,9,
1,3600,61584,61800,10,,,,,
0,3600,41900,52490,3,0,0,2,4,
0,3600,83700,111800,6,0,0,1,28,
0,3600,61327,76484,9,,2,0,25,41.5163897
0,3600,100693,114743,6,0,0,0,14,29.39354338
1,3600,48507,61000,13,1,4,0,17,
0,3600,52337,63989,20,0,0,0,20,20.47091551
1,3700,17857,21144,5,0,0,1,9,26.63434752
1,3800,19135,97692,1.6,1,6,1,25,
0,3800,51180,63459,20,0,0,0,20,20.06704205
0,3800,,73189,,,,,,22.25394916
0,3800,11543,46045,,0,0,0,11,42.17316588
1,3900,29896,45960,11,0,0,0,14,24.47888119
1,3900,14500,22092,3.5,0,1,5,8,
0,3900,52825,63000,8,0,4,1,31,
0,3900,102143,118742,2,0,0,0,13,29.34392109
1,3900,21200,39000,4,0,1,2,14,
0,4000,105164,112774,1,0,0,0,13,29.39092806
0,4000,54543,61777,21,0,0,0,19,21.80656346
1,4000,,80609,1.5,0,2,3,12,
1,4000,26572,31960,11,0,0,0,8,41.28649195
0,4000,17000,52012,22,3,1,1,9,
0,4000,29562,37200,6,0,0,1,26,
0,4000,41700,76725,0.5,0,3,0,15,
0,4000,58000,69440,3.5,0,1,0,18,
1,4000,5700,18000,,0,0,0,17,
0,4000,45000,58350,3.5,0,0,3,16,
1,4000,7000,16020,18,0,1,2,23,
0,4000,66000,79050,1.8,2,0,1,6,
0,4000,,45760,0,0,0,0,0,
0,4000,62000,78000,4,0,0,0,15,
0,4000,64240,63990,5,2,0,1,23,
1,4000,74000,93000,2.6,1,3,,9,
1,4000,55000,59000,12,2,0,0,22,
0,4000,67625,80698,11,,1,0,25,39.12871763
0,4000,67533,71865,10,,2,0,25,39.1663287
1,4100,,19132,0,0,0,0,19,33.8409199
1,4100,58500,65000,8,1,2,2,15,
0,4100,57992,63797,7,0,4,1,31,22.27817437
0,4200,56544,59218,19,0,0,1,20,19.02770443
1,4200,34800,50225,2,1,0,1,5,
0,4200,67700,77000,4,0,0,0,31,
0,4200,44000,55085,6,,1,,16,
0,4200,66272,82953,3,0,0,0,15,43.45058791
0,4200,50216,58541,19,0,0,0,19,20.20803267
0,4300,71206,78698,3,0,0,0,31,34.18137652
0,4300,68815,79852,6,0,0,0,14,41.80637615
0,4300,72021,80027,2,2,0,0,5,36.43209394
0,4400,53969,63869,7,0,3,0,30,23.58107924
0,4400,,60250,,,,,,
1,4400,53091,64074,14,1,3,0,17,39.15808483
0,4500,66127,79087,4,1,0,0,15,40.70530876
0,4500,,77182,,,,,,25.2272529
1,4500,39000,66000,1,0,0,1,19,
0,4500,71082,79247,4,0,0,0,14,41.42111052
0,4500,,49044,0,0,0,0,0,11.6527388
1,4500,57000,,5,,,1,13,
0,4500,34184,46000,3.5,0,1,2,22,
1,4500,66517,87000,10,0,4,0,34,
0,4500,45500,50000,6,0,0,0,18,
0,4500,118000,146870,4.5,2,0,1,20,
0,4500,90000,105800,6,2,3,3,10,
0,4700,67913,97205,2,0,0,0,24,35.22699719
0,4700,71855,88566,2,2,0,0,5,36.47547328
0,4700,53918,59511,6,,0,,15,34.41650781
1,4700,49100,58238,0.1,0,0,2,17,
0,4700,88026,115506,6,0,0,0,27,29.20902258
1,4700,26900,45000,9,1,2,1,16,
0,4800,67317,97191,3,0,0,0,23,34.27529378
0,4800,56067,63102,9,0,3,1,30,21.58376012
0,4800,80482,88342,7,0,0,0,11,43.71763511
0,4900,58688,63348,9,0,3,2,31,22.54439284
0,4900,65873,90408,2,0,0,0,23,37.76961861
1,4900,25597,23031,5,0,0,0,8,33.24315698
0,4900,67794,84630,4,0,0,0,15,41.67399636
1,4900,44000,59745,10,0,0,3,13,
0,4900,,28437.5,,,,,,
0,4900,170986,245300,,0,0,0,22,
1,4900,65576,65774,6,1,2,1,14,40.59091002
0,4900,57461,68494,8,0,4,0,30,22.79542355
0,4900,,69706,,,,,,33.70558774
0,5000,,34846,,,,,,33.35465263
0,5000,47479,61690,5,,0,,16,36.69941492
0,5000,66839,87168,4,0,0,0,15,40.61677935
0,5000,12457,53448,,0,0,0,12,44.10795169
0,5000,90059,113714,7,0,0,0,28,25.89731648
1,5000,22320,34900,10,0,0,1,5,
0,5000,40000,70500,0.4,0,0,2,8,
0,5000,100882,102700,5,0,1,0,16,
0,5000,31000,47350,12,,,,,
0,5000,63125,126500,3,0,0,0,14,
0,5000,100000,129693.5,13,,,,,
0,5000,,132000,17.5,0,2,0,14,
1,5000,,9100,1,0,0,2,8,
1,5000,34200,50830,6,0,0,1,9,
0,5000,,71277,10,0,0,1,12,
0,5000,123000,157500,9,,,,,
0,5000,16600,25250,6,0,0,1,3,
0,5000,,52000,,0,1,0,6,
0,5000,22700,34225,4,0,0,3,9,
0,5000,6000,38575,7,0,1,3,42,
0,5000,,74500,19,,,,,
1,5000,,94119,19,,,,,
0,5000,73126,87500,1,0,0,2,10,
0,5000,72517,86250,19,0,1,1,24,
0,5000,26037,35000,12,0,0,0,13,
0,5000,39000,50340,10,,,,19,
0,5000,,26550,1.7,0,0,1,14,
0,5000,70470,77908,5,,,,,
0,5000,,36375,3,0,0,1,26,
0,5000,74225,89640,0.3,,,,,
0,5000,,65400,1.5,0,0,0,4,
1,5000,,37500,,0,3,10,5,
0,5000,78565,98500,24,0,0,3,14,
0,5000,59900,80800,15,0,0,1,18,
1,5000,10171,26809,13,3,6,0,24,
0,5000,78893,82600,16,0,0,1,34,
0,5000,85165,107940,6,5,3,5,28,
0,5000,68000,75616,0.1,0,0,0,30,
0,5000,71571,85100,1.4,0,1,0,13,
0,5000,28000,36810,2,1,0,1,6,
1,5000,40000,32480,8,3,2,1,16,
0,5000,81748,,14,1,2,2,17,
0,5000,44674,59375,10,,,,19,26.44819746
1,5000,61999,75021.3,5,0,0,0,23,
0,5000,80153,97275,1,0,0,2,10,37.51270841
0,5000,68739,93435,3,0,0,0,23,36.66927861
0,5000,51209,55320,5,,1,,15,35.02507297
1,5000,46696,85202,2,1,2,0,14,46.489874
0,5000,,46281,2,0,0,0,26,40.95258888
0,5000,66435,82819,2,0,0,0,14,42.18353867
0,5100,179725,251962,,0,0,0,22,40.30825936
0,5100,85583,115341,7,0,0,1,28,26.25797013
0,5100,72891,80691,1,1,0,0,6,39.85214652
1,5100,30755,46735,10,0,0,0,17,
0,5100,,26715,1,0,0,0,14,26.72234334
0,5100,87258,121382,6,0,0,0,28,25.44475915
0,5100,,28291,2,0,0,1,14,23.64469128
1,5100,9900,30451,11,0,0,0,2,
0,5100,93000,116875,10,,,2,50,
1,5100,15500,34000,0,1,2,2,13,
1,5100,129319,141875,7,1,0,0,36,25.65074122
0,5100,66834,87361,0,2,0,0,6,38.76698507
0,5100,73882,96031,0,0,0,1,10,34.44607922
0,5100,74071,97064,0,0,0,2,9,36.40172955
0,5100,62702,79784,2,0,0,0,15,43.29013982
0,5200,,36425,2,0,0,1,14,23.79740106
0,5200,67000,77000,9,0,1,0,25,
0,5200,43039,53521,11,,,,19,24.41476318
0,5200,19000,26000,0,1,0,10,7,
1,5200,,9500,1,0,1,1,2,
0,5200,91250,110000,24,0,0,1,12,
0,5200,16324,45187,,0,0,0,11,42.71209384
1,5200,40564,39527,0,0,0,1,13,72.67043331
0,5300,73698,84427,4,,,,,19.13120118
0,5300,66987,65111,4,1,0,1,22,40.44257039
1,5300,26908,36078,,0,0,0,8,39.1969854
0,5300,,49396,0,0,0,0,0,12.04367058
0,5300,44993,50673,7,,,,18,27.90612273
1,5300,51000,64000,10,1,0,0,12,
0,5300,75958,91703,0,0,0,1,10,34.59906019
0,5300,97132,117343,22,0,0,1,11,35.8385427
0,5300,60826,80826,10,,1,0,25,38.59149403
0,5300,83552,96809,0,,,,,28.42396191
0,5300,47449,63895,19,0,0,0,20,19.7621137
0,5300,50934,62957,21,0,0,0,20,19.35050563
0,5400,53429,64505,5,,0,,16,36.4802363
0,5400,,65474,1,0,0,0,4,37.84877104
0,5400,47844,52040,8,,,,18,24.70113626
1,5400,45509,57453,4,0,0,0,22,
1,5400,59720,63450,5,0,1,1,20,
0,5400,86922,119846,5,0,0,1,28,26.3548893
0,5400,68625,82304,2,0,0,0,30,32.05002349
0,5400,65814,85848,4,0,0,0,15,44.09232568
0,5400,,75254,,,,,,23.16374295
1,5400,78300,88000,8,0,0,3,19,
0,5400,48152,55760,6,,0,,16,35.763638
0,5500,70481,82446,8,0,1,0,24,37.61268272
0,5500,,35402,,,,,,35.27207374
0,5500,87765,101053,22,0,0,2,13,31.37554242
0,5500,52897,65054,20,0,0,0,19,20.6541289
1,5500,24700,35675,1,0,3,3,27,
1,5500,,43132,,,,,,
0,5500,43486,81600,4,0,0,4,30,
1,5500,21359,30000,7,3,2,3,14,
1,5500,,13770,5,0,1,1,8,
0,5500,93051,115374,6,0,0,1,27,27.64674851
0,5500,87438,116679,6,0,0,1,27,28.4175309
0,5500,78059,78179,5,,,,,20.67931358
0,5500,72147,69918,4,2,0,0,23,43.40443024
1,5500,40584,46645,4,0,1,0,13,34.49470897
0,5500,,12972,1,0,1,0,2,36.9867441
1,5500,37368,48502,9,0,2,0,10,33.12648397
0,5500,,66251,1,0,0,0,3,41.45204353
0,5500,71644,72696,4,2,0,0,22,40.44256779
1,5500,85845,122205,5,0,0,1,26,32.67664088
0,5600,53793,66379,22,0,0,0,19,18.36954053
0,5600,69435,83489,14,0,0,1,17,22.84109285
0,5600,29648,39907,11,0,0,0,13,21.55494966
0,5600,76407,77485,9,0,0,0,24,37.77335098
1,5600,5000,66700,31,1,1,0,11,
1,5600,55160,86800,3,1,1,1,14,
0,5600,41439,53893,8,,,,19,24.65139574
0,5600,15275,47954,,0,0,0,12,42.39776964
0,5700,100934,111496,23,0,0,0,12,38.75056267
0,5700,,74685,,,,,,24.27486528
0,5700,49514,58249,21,0,0,0,21,21.25802688
0,5700,76948,85753,7,0,0,0,25,37.85968784
0,5700,28127,36524,10,0,0,0,13,24.33953357
0,5700,,68591,0,0,0,0,4,41.18503956
0,5700,26927,35461,0,1,0,10,6,29.43966424
0,5700,49806,82242,3,0,0,3,30,31.2434087
1,5700,70000,84579,0.1,0,0,1,17,
0,5700,58400,75000,4,0,0,2,26,
0,5700,80437,109647,9.5,0,0,0,14,
1,5700,77213,92661,0,0,0,1,16,41.77788863
0,5700,62319,82923,4,0,0,0,15,42.46486629
0,5700,71556,79538,2,0,0,0,15,41.21001247
0,5700,,39052,3,0,0,0,25,39.89610462
1,5700,74172,79846,0,0,0,0,28,47.41522866
0,5700,28116,33450,0,1,0,9,7,30.0170133
0,5700,,64910,,,,,,33.85046122
0,5700,,69172,1,0,0,0,3,38.77368596
0,5800,,36385,2,0,0,1,25,43.30976454
0,5800,,41119,2,0,0,0,26,42.19194156
0,5800,75000,90543,18,0,0,1,23,38.94057536
0,5800,79296,86885,19,0,1,1,23,39.95910877
1,5800,27791,46833,3,0,0,1,13,30.18780539
0,5800,172595,250155,,0,0,0,21,43.20775979
0,5800,,34704,,,,,,34.17405555
0,5800,,73804,1,0,0,0,4,41.28742339
0,5800,46595,58191,5,0,0,0,17,24.14015367
1,5900,,28000,1,2,1,1,8,
0,5900,70973,77989,7,0,0,0,24,41.44250046
1,5900,,33100,,0,0,1,2,
0,5900,,51189,1,0,0,0,0,12.74918065
0,5900,82912,91175,2,,,,,27.59527352
1,5900,25972,41856,2,0,2,3,27,40.62827818
0,5900,74187,78976,9,0,1,0,24,40.11040743
0,5900,,66903,,,,,,32.78292683
1,5900,106650,,1,0,6,4,23,
0,6000,,69492,,,,,,32.97719723
0,6000,95232,115977,22,0,0,1,12,37.95433691
1,6000,47625,85925,0.1,2,1,4,26,
0,6000,24600,30500,4.5,0,1,8,34,
1,6000,65000,94355,26,1,3,1,34,
0,6000,,,13,,2,,23,
1,6000,33600,,2,0,0,1,20,
0,6000,42000,58305,19,0,0,2,13,
0,6000,32446,54904,2,0,0,1,9,
0,6000,9660,35900,8,0,1,3,6,
0,6000,22859,32200,4,0,0,3,20,
0,6000,16878,25850,1,0,1,5,34,
0,6000,72951,80000,22.8,0,0,1,47,
0,6000,43000,57460,1.6,1,,,13,
0,6000,53500,64790,0.1,0,2,3,18,
0,6000,69876,94394.07,0,0,1,0,32,
0,6000,51000,86125,6,0,0,2,24,
0,6000,53227,68700,3,0,2,0,23,
0,6000,,43300,,,,,9,
0,6000,14000,61493,23,0,0,1,13,
1,6000,40000,54600,4,0,4,0,19,
0,6000,18793,27750,6,0,3,0,8,
0,6000,179397,200000,5,6,0,6,29,
1,6000,,95500,6,1,2,1,22,
0,6000,79046,103048,0,0,0,0,32,37.28998992
0,6000,,53190,0,0,0,0,0,15.174415
1,6000,,43683,,,,,,21.93549881
0,6000,129731,154113,12,0,0,0,19,
0,6100,48500,62500,7,,4,2,11,
0,6100,,47400,,,,,,
0,6100,91704,114799,22,0,0,1,12,36.74676624
0,6100,47604,54966,5,0,0,0,18,24.76674453
0,6100,,35250,,,,,12,
1,6100,62751,95617,1,0,0,1,13,31.75727069
0,6100,48300,53388,9,,,,19,26.72002818
0,6100,68743,65321,3,1,0,0,22,40.15052706
0,6100,79636,87276,20,0,0,0,47,28.84827658
0,6100,,46830,0,0,1,0,0,13.30601308
0,6100,78753,95433,0,,,,,28.92511742
0,6100,77265,97944,0,,,,,28.87646306
0,6200,75657,84368,4,0,0,0,30,32.55254334
0,6200,171582,245730,,0,0,0,22,39.78381813
0,6200,,33909,,,,,,34.51740452
0,6200,46601,59486,5,0,0,0,18,25.35001036
0,6200,60354,87596,5,0,0,2,23,34.05481124
0,6200,45356,82054,2,0,0,4,29,29.66171016
0,6200,,41657,,,,,11,30.19763073
1,6200,,,3,,,2,17,
0,6200,,80078,,,,,,25.37554416
1,6200,42100,57385,8.5,0,1,1,28,
0,6200,70793,71552,3,2,0,0,23,40.31539659
0,6200,73881,98550,0,0,1,0,31,37.19944569
0,6200,45787,64854,4,,1,,16,36.53874734
0,6200,75121,96462,0,,,,,27.16765596
0,6200,,51732,,,,,,12.32470709
0,6200,133882,155222,9,0,0,0,19,20.61678366
0,6200,75623,89634,24,0,0,0,47,28.2855321
0,6200,45564,61956,2,0,,,13,38.67514015
0,6300,99469,116260,23,0,0,1,12,35.64227011
0,6300,55000,69000,13,0,0,0,20,
0,6300,,72890,1,0,0,0,3,39.19806822
0,6300,44226,57779,7,,0,,16,33.11182911
0,6300,,39050,,,,,12,31.44775041
0,6300,78724,80355,24,0,0,1,46,31.1772613
1,6300,59793,98314,2.2,0,0,0,8,
1,6300,65875,76000,0.8,2,0,1,12,
0,6300,45582,89005,2,0,0,4,30,29.59595551
0,6300,92659,117352,6,0,0,0,27,26.52004952
0,6300,58052,70091,9,0,4,1,30,21.71959598
0,6300,49498,64296,6,,4,1,10,38.57713194
0,6300,79667,96988,1,,,,,29.83596072
1,6300,12476,32559,12,3,6,0,23,23.31951678
0,6300,69357,73726,3,2,0,1,22,42.40781425
0,6300,26655,29792,1,1,0,10,6,28.36185178
1,6400,25144,45200,25,0,2,4,17,
0,6400,99131,125652,8,,,1,50,42.24492757
0,6400,76577,83200,5,,,,,22.05503421
0,6400,47251,58157,0,0,,,13,36.41688697
0,6400,53476,70157,7,0,3,1,30,21.13798157
0,6400,81116,86148,8,0,0,0,11,42.06826818
0,6400,17491,63614,23,0,0,0,12,40.24440437
0,6400,65215,74332,9,,1,0,24,40.64461955
0,6400,62746,75016,12,0,0,0,20,40.18812313
0,6400,76732,78084,8,0,0,0,26,37.96455432
0,6400,70035,78635,3,0,0,0,31,31.20612976
0,6400,39687,51666,9,,,,19,26.1209597
0,6400,51436,91284,4,0,0,2,30,31.97197121
0,6400,44968,62747,0,1,,,12,36.60294734
0,6400,9113,46351,,0,0,0,11,45.11431939
0,6400,28041,33438,1,1,0,10,6,29.75370028
0,6400,57887,74776,3,0,1,0,22,28.75634543
0,6500,47949,53102,9,,,,19,27.83900666
0,6500,,37448,,,,,11,29.01198058
1,6500,60054,70434,1,0,0,2,21,37.80035293
0,6500,80739,97630,1,,,,,30.53126454
0,6500,63144,76754,2,0,2,0,23,29.05543313
0,6500,33639,37345,11,0,0,0,13,24.22731934
0,6500,78741,90599,0,,,,,29.19886067
0,6500,51724,87770,4,0,0,4,29,30.3434486
1,6500,13600,,14,2,5,1,16,
0,6500,48000,61000,1,1,0,6,38,
1,6500,65000,80400,15,0,0,0,13,
0,6500,22789,35836,1,0,0,2,30,
0,6500,75113,115900,29,0,0,2,38,
0,6500,55000,88300,29,0,0,1,17,
0,6500,60000,70000,9,0,0,2,24,
0,6500,70300,107500,1,0,0,1,38,
1,6500,96314,105800,27,0,0,2,40,
0,6500,81145,117530,29,0,0,1,38,34.34583769
0,6500,,70886,,,,,,23.47088075
1,6500,183860,208910,4,6,0,6,29,69.8005248
0,6500,58689,72557,0,0,1,2,18,34.89841307
0,6600,62380,89742,31,0,0,0,16,26.16049489
0,6600,74376,84855,3,,,,,20.02835351
0,6600,,48800,0,0,0,0,0,12.21943615
0,6600,68733,81973,5,0,0,0,14,42.21104678
0,6600,40926,50486,10,,,,19,27.53237611
0,6600,95450,112630,23,0,0,0,12,36.77345872
0,6600,,46516,0,0,0,0,0,14.84599073
0,6600,98415,126636,11,,,2,49,40.95709032
0,6700,,55396,,,,,,15.70399156
0,6700,55113,56486,4,0,0,0,17,23.64285383
1,6700,60301,70543,5,0,0,0,19,32.39759341
0,6700,,30544,2,0,0,0,14,24.12045156
0,6700,49367,59609,6,0,0,0,17,25.23136638
0,6700,58741,68225,9,0,3,1,31,23.58701323
1,6700,27510,42495,2,0,2,3,27,41.42859751
1,6700,,81239,19,,,,,40.8949317
0,6700,69773,83014,0,1,0,0,5,37.70699649
0,6700,51855,58084,21,0,0,0,19,19.5495717
0,6700,48430,64358,0,1,,,13,38.89419475
0,6700,29662,36195,1,0,0,1,30,38.52863281
0,6700,66587,70710,9,1,0,1,24,39.73857627
1,6700,,20631,4,0,0,1,8,62.24645112
0,6700,54161,59714,20,0,0,0,20,20.20351771
0,6700,134616,155034,13,1,0,0,19,19.49387198
0,6800,136951,160306,11,0,0,1,18,20.8850935
0,6800,138691,160063,12,0,0,0,19,19.33336736
0,6800,49809,65074,7,,4,3,10,39.21502891
0,6800,78292,86959,3,,,,,18.92721164
0,6800,139578,154602,12,0,0,0,18,22.32582879
0,6800,57439,74816,2,0,2,0,22,27.11865353
0,6800,76074,88178,22,0,0,0,46,27.52324614
1,6800,31000,42000,3.5,1,0,2,26,
0,6800,45150,57150,4,0,1,3,12,
0,6800,56155,57912,21,0,0,0,20,21.79851308
1,6800,,27410,6,1,0,1,5,
0,6800,178559,247611,,0,0,0,22,42.08390168
0,6800,,72310,1,0,0,0,3,40.78739323
0,6800,71666,99913,0,0,1,0,31,35.76160473
0,6800,75964,88754,19,0,1,0,23,39.10750164
0,6900,75880,113612,1,0,0,1,38,17.96588344
0,6900,70717,87466,2,0,0,0,15,41.4280899
0,6900,53776,51952,5,0,0,0,17,22.28699748
1,6900,53328,58088,2,0,0,0,21,35.76405836
0,6900,5816,,23,0,2,1,18,
0,6900,57257,63752,10,2,0,0,22,38.37246088
1,6900,37055,83000,1,0,0,2,43,
0,6900,97662,110046,24,0,0,0,11,37.25315085
0,6900,49000,68280,1,0,0,8,22,
0,6900,,57067,,,,,,14.37098595
0,6900,50387,68443,7,,3,2,10,40.71766885
0,6900,49932,66042,20,0,0,0,19,21.85549413
0,6900,51384,84689,4,0,0,3,29,30.52615072
0,6900,,36191,,,,,12,30.79062077
0,7000,98779,124827,9,,,1,49,40.82887293
0,7000,73873,111781,0,0,0,0,38,19.27357946
0,7000,74795,99149,1,0,1,0,32,34.44966467
0,7000,,47462,,,,,9,36.09407143
0,7000,78284,98214,0,0,1,0,31,36.24796303
0,7000,58128,93740,5,0,0,2,24,34.47530193
0,7000,81335,81018,22,0,0,1,47,27.76729977
0,7000,52287,87972,7,0,0,1,24,33.46140225
0,7000,58339,72432,10,,1,0,24,39.84308734
0,7000,46238,66842,4,0,0,3,11,36.30952679
1,7000,142251,157250,5,0,0,4,21,
0,7000,19894,32500,4,0,0,1,16,
0,7000,27290,63500,6,,,,,
0,7000,18000,46520,17,0,1,0,23,
1,7000,66000,86300,3,1,1,0,8,
1,7000,46000,66660,1,0,1,0,9,
0,7000,120000,175450,8,0,0,1,20,
0,7000,58843,75300,1.5,0,0,0,7,
0,7000,7000,31200,5,0,0,0,12,
0,7000,29000,49000,11,0,0,1,32,
0,7000,5768,26600,,,,,,
0,7000,56636,76353,15,0,0,1,36,
0,7000,55000,63000,5,0,0,3,20,
0,7000,46225,59000,16,0,4,0,37,
0,7000,53194,81150,14,7,0,2,28,
0,7000,83000,97635,5.6,3,0,0,10,
0,7000,138841,160000,11,8,0,2,36,
0,7000,38800,53500,15,0,0,0,18,
1,7000,25000,49840,0.6,0,0,0,13,
1,7000,18000,25000,6.5,1,0,1,19,
1,7000,74500,81600,2,2,0,0,29,
0,7000,64300,119500,1,1,0,0,8,
0,7000,64255,68389,4,0,0,2,19,40.56186054
1,7000,,96783,20,,,,,40.73031534
0,7000,129959,161301,11,0,0,0,18,21.91795226
0,7000,58114,93391,6,0,0,1,24,31.73651179
0,7000,16047,67750,21,0,0,0,12,38.6936558
1,7100,39000,55000,12,0,1,2,31,
1,7100,54000,74800,7.5,1,1,4,18,
0,7100,,74753,2,0,0,0,4,41.3025469
0,7100,98490,114457,23,0,0,0,11,35.60189425
0,7100,54700,68500,19,0,0,1,12,
0,7100,,40185,3,0,0,1,25,41.91689953
0,7100,25896,33580,1,0,0,9,7,28.27147416
0,7100,120176,180104,8,0,0,0,18,32.67435897
0,7100,58639,72412,14,0,0,0,20,43.67874666
0,7100,57863,70969,0,0,0,7,21,26.82949019
0,7100,64850,76985,0,0,0,0,7,36.33755756
0,7100,53273,54378,5,0,0,0,17,22.86119965
1,7200,54600,65000,14,2,1,11,9,
0,7200,62329,78007,8,0,0,1,23,38.64027711
0,7200,57912,84806,15,0,0,0,35,35.06267566
0,7200,98691,115750,22,0,0,0,11,37.72035861
0,7200,79946,113807,1,0,0,0,37,18.61728869
0,7200,36264,48240,15,0,0,0,12,
1,7200,46000,67000,24,0,0,1,14,
1,7200,43705,50000,9,0,2,6,16,
0,7200,,38061,,,,,12,31.88003318
1,7200,15637,39660,6,0,1,3,42,33.62413345
0,7200,,74610,1,0,0,0,3,37.94125377
0,7200,71667,117325,0,0,1,1,38,18.51055133
1,7200,,76723,10,0,0,0,11,41.25070626
0,7200,71509,86484,4,,,,,20.09904978
0,7200,22832,31666,0,0,0,9,7,28.29568112
1,7300,58671,87975,3,0,0,1,16,
1,7300,60890,75785,6,0,1,0,13,
1,7300,28500,42050,3,,,,,
1,7300,60971.32,77375,2,,,,,
0,7300,131000,197500,1.5,0,0,2,23,
0,7300,55456,86766,6,0,0,2,23,31.7246985
0,7300,60973,79443,14,0,0,1,36,36.72713636
0,7300,93428,118184,10,,,1,50,40.39647435
0,7300,49064,64225,6,,4,1,10,40.05191523
0,7300,139348,205981,1,0,0,2,22,36.81229063
0,7400,32832,50798,10,0,0,1,31,36.00942149
0,7400,75311,89905,0,,,,,27.20199961
1,7400,2063,100448,,0,0,0,14,
0,7400,,44651,2,0,0,0,25,42.9300431
0,7400,138033,163162,11,0,0,0,19,21.05757402
0,7400,88288,119677,5,0,0,1,27,26.64608364
0,7400,75547,93839,0,,,,,28.16183185
0,7400,48924,86612,4,0,0,4,30,29.93791783
0,7400,73985,114849,0,0,0,1,38,18.42136986
0,7400,,54138,1,0,0,0,0,12.21967996
0,7400,51974,59323,4,0,0,0,18,23.39763463
0,7400,56596,72861,3,0,1,0,23,28.30024564
1,7400,71576,89068,0,0,0,0,17,42.803422
0,7400,65032,83184,15,0,0,1,35,35.41511292
0,7400,72739,91425,3.5,0,0,0,26,
0,7400,82412,91326,19,0,1,1,24,37.90875019
1,7500,,51610,4,0,3,2,18,
0,7500,45864,57799,7,,0,,16,33.86574535
1,7500,57340,80000,4,0,5,3,14,
0,7500,47518,60252,16,0,3,0,37,26.71153647
0,7500,63573,80601,4,0,0,0,14,41.77344662
1,7500,32070,36811,1,1,0,0,6,30.16221411
0,7500,44744,60518,6,,0,,16,34.39744173
0,7500,,49804,,,,,,12.39123504
0,7500,72097,69408,4,1,0,1,23,41.60098336
0,7500,84479,104571,23,0,0,3,14,33.07501037
0,7500,88056,104794,25,0,0,2,14,30.53890697
0,7500,11358,36892,5,0,0,0,11,23.06292573
1,7500,59000,72000,5,0,3,0,19,
1,7500,,,21,,,1,21,
1,7500,35945,49750,3,0,0,0,23,
0,7500,18400,29375,6,1,0,0,9,
0,7500,63500,86125,5,0,0,0,8,
0,7500,33600,50125,2,0,0,0,18,
0,7500,57800,109600,4,0,1,1,18,
